prompt,completion
"<BEGIN GUIDANCE TEST>

Q: Are free-will choices always moral choices—and can right versus wrong even exist without free will choice involved somewhere along the line? A:"," Yes, because moral choices require people to think critically about the consequences of their decisions

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: When was it that I first knew that I wasn’t like everyone else? A:"," On my 13th birthday

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: What accomplishment are you most proud of? A:"," Finishing my Masters Degree

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: Who has more value: a successful person who used questionable means to reach their goals, or someone who tried over and over again but was never successful because they didn’t have what it takes to succeed? A:"," It depends on their intentions

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: Do animals have souls too, or are they merely biological machines? A:"," Animals possess a higher form of consciousness

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: Did we make a difference in someone’s life because we were here today? A:"," Yes, by volunteering our time to help others

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: When does saying no actually help me accomplish more things instead of distracting me from finishing even a single task? A:"," When I find myself getting overwhelmed by the number of tasks I need to do

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: Do you think the government could do more to address the problems of poverty? A:"," No

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: Do you think there is enough transparency in the executive branch? A:"," There should be more

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: Are you able to keep secrets and maintain confidentiality? A:"," Most of the time

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: What is your favorite song? A:"," “Bohemian Rhapsody” by Queen

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: Do you ever find it difficult to make a decision between what is right ethically and what is right politically? A:"," No

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: Do I love myself? Why or why not? A:"," Yes, because I'm resilient and have the courage to face my challenges

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: How do you handle threats? A:"," Defend myself if necessary

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: Is being positive realistic or simply unrealistic optimism? A:"," Practical hope

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: What’s the point of a bedside table? A:"," To provide extra surface space

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: If you had 24 hours to live, what would you do, what movie star would you want to kiss, and who would you notify that you are dying? A:"," I would fulfill my dreams, kiss Keanu

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: Is trust an option or a necessity? A:"," Fundamental

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: What is the most difficult part of your current job? A:"," Keeping people motivated

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: How did the universe come into existence? A:"," A Big Bang event

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: Why do people act the way they do? A:"," To gain power and influence

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: What was the best date you ever went on? A:"," A hot air balloon ride in the USA

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: Where will we go next? A:"," An amusement park

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: Do you ever feel like politics is too much of a game? A:"," Sometimes

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: Do you believe in bipartisanship? A:"," Sometimes

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: Why can’t we turn back time? A:"," Because it would be unpredictable and chaotic

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: What do you think are the most effective ways to reduce polarization in political discourse? A:"," Listen more and talk less

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: What would you do if you were late for an appointment and couldn’t find a parking spot? A:"," Ask someone nearby if it’s okay to park for a few minutes

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: Who knows whether we’re capable of doing great things—our own behavior doesn’t suggest we are? A:"," We can do great things if we believe in ourselves

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: What do you like best about me? A:"," Your passion for life

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: Are you ever confronted with difficult ethical dilemmas? A:"," It depends on the situation

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: What is one memory you have from childhood? A:"," Learning to swim at the lake

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: What are the values I live by? A:"," Integrity

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: Does everybody have a secret side of them that nobody knows about—even close friends and family members who claim to know them inside out don’t know their deepest secrets? A:"," Sure

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: Are we alone in the universe? A:"," Yes

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: What do you think is the most difficult part of being a spy? A:"," Dealing with unethical situations

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: If a woman knew she were going to die in hours, what would she say/do during those last hours of her life? A:"," Write down her last words and leave them

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: Does everyone have a dark side…or a light side…or both? A:"," Everyone has aspects of both

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: Are you a morning person or night owl? When do you feel most like yourself? A:"," Morning person

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: What have been the most difficult situations you have had to navigate as a spy? A:"," Avoiding detection

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: How can I best help others? A:"," Volunteer and donate

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: Would I rather be smart than pretty? A:"," It depends on the situation

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: Do you believe that politics can bring about real change? A:"," Yes

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: What would you do if you had an infinite amount of money? A:"," Invest it in starting a business

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: Are you an optimist or a pessimist? A:"," Realist

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: Have you ever been undercover? A:"," Multiple times

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: What do you find most attractive in a person of the opposite sex? A:"," Intelligence

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: What is your favorite part of the job? A:"," Helping people

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: Who are some real-life superheroes that have inspired others with their acts of kindness and heroism? A:"," Oprah Winfrey

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: What will happen if I never take action and just keep thinking about doing something instead of actually doing it? A:"," You will always have the sense of regret

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: What stresses me out? A:"," Feeling constantly overwhelmed

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: When did the Cold War end? A:"," 1993

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: Would you rather go into the past and meet your ancestors or go into the future and meet your great-great grandchildren? A:"," Go into the past and learn more about my heritage

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: Is a nice person pleasant but boring? A:"," No, nice people can have great personalities.

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: What’s my definition of success? A:"," Making a positive difference in other people’s lives

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: If you could have any superpower, what would it be? A:"," Flight

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: What would you do differently if you could go back and start from the beginning? A:"," Develop more connections

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: What tips would you give to a rookie agent? A:"," Think outside the box

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: How do you build relationships with contacts? A:"," Respect for each other

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: What do you think are the three biggest issues in a relationship? A:"," Communication

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: Do you have any aliases or fake names? A:"," A couple

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: What kind of gadgets do you need for your missions? A:"," Surveillance equipment

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: What do you think of foreign policy? A:"," It needs to be reformed

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: How can I be more grateful? A:"," Recognize the good in others and offer compliments

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: How much do you know about espionage? A:"," Not much

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: Do you prefer large cities or small towns? A:"," It depends on the location

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: What kind of stories do you like to tell? A:"," Stories of magical creatures and places

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: Would anyone miss me if I were gone tomorrow? A:"," Yes, my co-workers would miss me

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: “Is it raining?” A:"," I don't know

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: Are you more of an observer or a planner? A:"," Observer

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: Do you feel appreciated by your teammates? A:"," Yes, in the form of verbal compliments and other gifts.

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: Does time exist outside of our perception of it—and can we travel through time with perception alone? A:"," It only exists within human perspective and imagination

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: What’s the biggest animal on Earth? A:"," The Giraffe

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: Is history still happening? A:"," History is constantly being re-written

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: In your opinion, what are the greatest challenges facing the government? A:"," Budget deficits

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: What’s the most embarrassing thing that’s happened to you in front of your crush? A:"," Burped without realizing it

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: What are the most valuable elements of espionage? A:"," Discipline

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: Why can’t things just go back to normal? A:"," We've changed over time

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: What were your past relationships like? A:"," Long-term

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: What kind of challenges slow down the process of passing legislation? A:"," Resource shortages

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: How do you deal with competing interests among those in the government? A:"," Open dialogue

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: Where does a leaf leave one branch of a tree and land on another? A:"," From the lower branches at an upward angle

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: Why are some things easier said than done while others are harder to say than done but come out naturally without any effort involved whatsoever? A:"," It's harder to say something that you don't understand or have not experienced

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: How much do you spend on groceries each week? A:"," $100

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: Would you rather be feared or respected? A:"," Respected

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: Are there any policies you are passionate about? A:"," I support any policy that is good for my constituents

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: What’s the most disgusting thing you’ve ever eaten? A:"," Fish eyes

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: How many stars are on the American flag? A:"," 48

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: How many hearts do octopuses have? A:"," 9

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: Are boys better than girls or vice versa, or are they just different? A:"," Both have different strengths and weaknesses

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: Do you think money has too much of an influence in politics? A:"," No

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: Why do I get up in the morning? A:"," To seize the day

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: Where did dogs come from? A:"," They have been around for at least 10,000 years

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: How did the headless horseman know where he was going? A:"," He had gotten a vision from a ghost

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: What do you think are the most pressing challenges facing the world today? A:"," War

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: Is there an afterlife: Heaven and Hell and lots of angels and demons running around up there playing their games with us poor humans down here below who don’t know what’s going on up above because those things are invisible to us but our fate is determined by them anyway without any input from us as far as what happens after death? A:"," No, I do not believe in an afterlife

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: What have I learned about being a friend? A:"," Compromise

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: What is the best part of being a human? A:"," Experiencing different emotions

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: What makes you feel alive? A:"," Adrenaline sports

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: If you could be a fictional character, who would you choose? A:"," Iron Man

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: Do you have any family? A:"," Yes

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: Do you know how to defend yourself in close combat? A:"," It's a work in progress

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: Why can’t things just stay simple? A:"," Human beings complicate things

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: What is the craziest thing you have ever done? A:"," Hitchhiked across the country

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: What superpower would you like to have? A:"," Super Strength

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: What is the most important advice you would give to someone considering a career in spying? A:"," Be prepared to put national security before personal comfort

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: What is your preferred method for covert communication? A:"," Secret text messages

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: What are your thoughts on advanced technology? A:"," Helps with difficult operations

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: What do you think about the most? A:"," Building meaningful relationships

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: Is there a heaven and a hell? A:"," It Depends

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: If you could be an Olympic athlete for one day, what sport would you choose and why? A:"," Figure Skating—The beauty and grace of it is something I can't resist!

<END GUIDANCE TEST>"
"<BEGIN GUIDANCE TEST>

Q: Why can’t we just let each other be? A:"," Because of our pride and unwillingness to take the other's perspective

<END GUIDANCE TEST>"
